Cell,AreaShape_Area,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Perimeter
188,616,1.431652735,0.899264335,0.543209877,0.555523891,43.4235126,44.38468204,9.899494937,3.856205751,3.605551275,19.84446402,18.99368745,118.044
189,741,1.238890318,0.814998446,0.59375,0.553538866,41.84165163,48.27007354,12.04159458,4.43803125,4,24.86491808,24.24569493,129.7
190,685,1.44648648,0.894895606,0.537254902,0.553563605,45.87039596,50.6359556,10,4.007806901,3.605551275,21.50348809,20.47083555,124.7
191,765,1.192148529,0.823216141,0.612980769,0.716002095,41.91599715,41.23105626,11.40175425,4.69048959,4.123105626,23.25510697,23.79688902,115.872
192,677,1.293960566,0.87051788,0.732683983,0.625836702,42.38507466,43.56604182,10.44030651,4.303141553,4,20,20.85925462,116.592
193,689,1.024607497,0.501921611,0.742456897,0.825906657,32.08966232,32.44996148,13.03840481,4.960576109,4.242640687,27.51181564,27.75476979,102.388
194,699,1.039252405,0.544562291,0.713265306,0.776071528,32.97386147,34.0147027,13,4.905446145,4.242640687,27,27.65585032,106.388
195,708,1.379654876,0.87367639,0.533936652,0.591629288,44.8498973,47.63402146,11.04536102,4.128675312,3.605551275,22.97297021,21.81981227,122.63
196,624,1.088816274,0.537507393,0.694104561,0.71819933,31.82113094,35,11.40175425,4.385004807,4,27.13594573,26.83345621,104.49
197,767,1.254520989,0.834587908,0.595959596,0.631319827,43.36144021,47.63402146,12.08304597,4.59346698,4.123105626,25.49117494,23.88672388,123.56
198,396,1.352415264,0.852562332,0.563300142,0.515534357,32.76094717,36.49657518,8,3.135921344,2.828427125,17.32312229,17.12170815,98.248
199,350,1.20821748,0.758494266,0.603448276,0.622205471,27.53406917,28.16025568,8,3.212832236,2.828427125,18.26895501,17.94339431,84.076
