Cell,AreaShape_Area,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Perimeter
43,551,1.317289772,0.868106011,0.546626984,0.626290684,38.52649318,38.07886553,9.433981132,3.810921142,3.605551275,19.49771971,19.12373603,105.146
44,494,1.105294717,0.694281899,0.655172414,0.69528861,30.29695238,29.73213749,10.19803903,3.922275638,3.605551275,22.4696064,21.8048125,94.49
45,613,1.040433095,0.591423815,0.721176471,0.720659424,31.3971623,33.06055051,12.16552506,4.585902189,4,24,25.31744348,103.388
46,482,1.687777974,0.933323645,0.446296296,0.498617609,42.8445451,46.87216658,8.485281374,3.25837935,2.828427125,15.74171083,15.38274146,110.216
47,720,1.097777557,0.752327839,0.714285714,0.711947446,37.48059753,37.21558813,12,4.820707312,4.242640687,24.06273851,24.69180183,112.732
48,685,1.364506151,0.845227383,0.455149502,0.523881179,43.03385962,45.69463864,10.63014581,4.021303406,3.605551275,24.51178464,22.99758894,128.184
49,612,1.300502366,0.820511997,0.596491228,0.550311724,39.09936265,38.62641583,9.848857802,3.883069368,3.605551275,22.58831525,22.35034152,118.216
50,483,1.080520459,0.710505728,0.714497041,0.756168412,29.84722097,31.144823,10.19803903,4.037501746,3.605551275,21.15071964,21.00323322,89.592
51,861,1.141768369,0.585016391,0.567567568,0.593283717,38.86641375,43.46262762,13,4.782001094,4.123105626,30.92240485,31.52149594,135.044
52,912,2.010908463,0.962149905,0.38974359,0.501158092,65.88135854,64.81512169,9.219544457,3.973574084,3.605551275,17.57525324,17.95403734,151.222
53,669,1.114747494,0.767044455,0.677125506,0.789117969,36.69705128,37.65634077,11.70469991,4.685087878,4.242640687,23.58330795,23.54460629,103.216
54,594,1.218689353,0.808126268,0.617463617,0.678284999,37.01405934,37.10795063,10,4.040471907,3.605551275,24.00225215,21.80162454,104.904
55,415,1.12554921,0.75942998,0.681444992,0.672268551,28.94690644,29.73213749,9.219544457,3.698541977,3.16227766,19.16031438,18.83254023,88.076
56,515,1.16318472,0.732273495,0.605882353,0.658364944,32.31041238,33.24154028,10.29563014,3.922331243,3.605551275,22.80789337,22.00373548,99.146
57,1009,1.217808997,0.83777587,0.669098143,0.637370264,49.08636219,51.15662225,13.60147051,5.28790092,5,27.43285982,26.80185463,141.044
58,410,1.080657185,0.520704711,0.585714286,0.650829889,25.58413067,27.45906044,9.848857802,3.615285473,3.16227766,21.92031022,21.84211505,88.974
59,554,1.732100154,0.943885717,0.693366708,0.560781038,46.9351562,46.17358552,8,3.460441323,3,15.28910582,15.50137929,111.42
60,942,1.571214526,0.924730955,0.456395349,0.53608646,57.34767769,62.36986452,11.40175425,4.472020435,4.061552813,22.75916194,21.82775423,148.598
61,677,1.538295239,0.910431905,0.510558069,0.566371026,47.5822874,44.04543109,8.602325267,3.857715415,3.605551275,19.80101008,19.68284017,122.56
