gene_symbol,log2FoldChange,pvalue
BC031181,0.119443855,0.891851681
Gm8941,-0.017654781,0.99999707
Nr3c2,-0.050264639,0.99999707
Gm29367,-0.006402192,0.99999707
Cox7a2,-0.01184669,0.99999707
Gm6728,-0.199872117,0.52751236
Inpp5e,-0.021850902,0.99999707
Magohb,0.03316543,0.99999707
1700029J07Rik,0.003386517,0.99999707
Tnnc2,0.050711305,0.99999707
Mum1l1,-0.039269609,0.99999707
Gm44762,-0.188586357,0.615558873
Lum,0.000449942,0.99999707
Smcr8,0.020320749,0.99999707
Ahsa1,0.039577855,0.99999707
Gm6043,-0.039113727,0.99999707
Prr19,-0.032998738,0.99999707
Styx,0.058761647,0.99999707
Nars,0.005138229,0.99999707
Lurap1,-0.075513022,0.99999707
Tmem26,0.040911998,0.99999707
Xkr6,-0.009245426,0.99999707
Slc30a5,-0.039722319,0.99999707
Sh3bp4,-0.059402158,0.99999707
Rrp1b,-0.028912231,0.99999707
Gatad1,0.001174046,0.99999707
Sfswap,0.021489838,0.99999707
Pus10,-0.101283461,0.99999707
Lypd3,-0.032463796,0.99999707
Heatr5a,0.118500938,0.99999707
Tial1,0.053969117,0.99999707
Gm10263,0.02679201,0.99999707
Gm13552,-0.146222568,0.560878825
Spef2,-0.006456709,0.99999707
Plekho2,-0.050801009,0.99999707
Uba2,-0.051227992,0.99999707
Ofd1,0.029291035,0.99999707
Sipa1,0.073504804,0.99999707
Grn,0.014107228,0.99999707
Kctd3,0.032324972,0.99999707
Slc16a4,-0.009458529,0.99999707
Amotl2,0.042073659,0.99999707
Accs,-0.045256559,0.99999707
Gm20715,0.007510203,0.99999707
Fam120aos,0.040356845,0.99999707
Dbr1,-0.067348638,0.99999707
B230369F24Rik,0.014748272,0.99999707
Txnl4a,0.033607514,0.99999707
Erp29,-0.090691296,0.99999707
Med15,0.006659805,0.99999707
Rdh5,0.134845602,0.845283201
AC121821.1,0.003442685,0.99999707
Gm26595,0.074159592,0.99999707
Nsg1,-0.07254591,0.99999707
Dmtf1,0.013726349,0.99999707
Gm12057,0.094853568,0.979942677
Hnrnpul2,-0.016030987,0.99999707
Gm5270,-0.031360157,0.99999707
Med19,0.131125964,0.99999707
Gm37678,0.046869497,0.99999707
Pcgf3,-0.091040973,0.99999707
Zbtb48,0.076964874,0.99999707
Spg11,-0.009977016,0.99999707
Gm5697,0.059651855,0.99999707
Pigq,-0.067714547,0.99999707
Plp1,-0.001026347,0.99999707
RP23-451F18.1,0.000308958,0.99999707
Wscd2,0.085377515,0.99999707
Gm43689,0.067494934,0.99999707
4930505N22Rik,-0.075326426,0.99999707
Psme4,0.089616137,0.99999707
Zfp292,-0.133035285,0.992436632
Sf3b2,-0.000950123,0.99999707
Gm44086,0.000255944,0.99999707
Tmem63a,-0.042680293,0.99999707
Gm12760,-0.024991686,0.99999707
Haghl,0.116214604,0.838886254
Tpcn1,0.099938767,0.979942677
Ppp1r26,0.01922533,0.99999707
Gm7405,-0.063396286,0.99999707
Mtmr2,0.053363639,0.99999707
Gm43153,0.02735477,0.99999707
Gm45416,-0.069431278,0.99999707
Ptbp2,-0.036265682,0.99999707
Slc11a1,0.033743914,0.99999707
Mrpl11,-0.020299619,0.99999707
Dhx40,0.0941832,0.99999707
Gm12118,0.018990659,0.99999707
Depdc1b,0.090803291,0.753506251
Gm13238,0.003007477,0.99999707
Taok3,0.1186392,0.72739407
Gm6637,-0.040664282,0.99999707
Bsg,-0.020100886,0.99999707
Snrpf,-0.023538255,0.99999707
Ighv1-11,-0.005947917,0.99999707
Epcam,0.035299714,0.99999707
Gm14650,0.002113971,0.99999707
Gm14639,-0.046535458,0.99999707
2310010J17Rik,0.006240296,0.99999707
Hspa4l,-0.105251607,0.99999707
Gm11989,0.001737421,0.99999707
C430014B12Rik,-0.00226245,0.99999707
Mir684-2,0.024205989,0.99999707
Gm16701,-0.086765216,0.99999707
Phf2,0.007229045,0.99999707
Vps50,0.086834964,0.99999707
Ndufaf4,-0.167912705,0.434497702
RP23-72D18.1,-0.117530017,0.99999707
Mnt,0.013362721,0.99999707
Gm5266,0.084595461,0.99999707
Asrgl1,0.00685847,0.99999707
Ccdc39,-0.011311307,0.99999707
Gm10419,-0.02528188,0.99999707
Unc45b,-0.025560399,0.99999707
Gm10300,-0.015383576,0.99999707
Pdp1,-0.211351578,0.299730183
Gm42957,0.015777662,0.99999707
Gm7336,0.078056284,0.99999707
Lcn4,-0.064519882,0.99999707
Dus2,-0.043436775,0.99999707
Gm5139,0.018139726,0.99999707
Gm5708,0.143947931,0.541409985
Prtg,-0.007076048,0.99999707
Gm45243,0.023267424,0.99999707
Ogg1,0.018996914,0.99999707
Ndufs4,-0.004174423,0.99999707
Ppp2r3d,-0.102111555,0.99999707
Gm12005,0.022419631,0.99999707
Igkv6-20,-0.032871625,0.99999707
Gm17018,-0.007947723,0.99999707
Igkv18-36,-0.028346647,0.99999707
Kif21b,0.156600655,0.851306679
Trim12c,-0.071691919,0.99999707
Gm13202,-0.022092331,0.99999707
9130023H24Rik,0.066477589,0.99999707
Zfp513,-0.01113021,0.99999707
Nhej1,0.045964404,0.99999707
Gm9530,-0.056591239,0.99999707
Slc26a8,-0.012869641,0.99999707
Rag2,0.033091362,0.99999707
Mrpl19,0.055202103,0.99999707
Gid4,0.081247561,0.99999707
Gm13743,0.012350412,0.99999707
Art5,0.093091132,0.99999707
Gm32569,-0.141143156,0.615662035
Ube2l6,-0.007585524,0.99999707
Mydgf,-0.008026137,0.99999707
Atad2,-0.109102062,0.99999707
Gm17752,-0.014866785,0.99999707
Zfp383,0.049161684,0.99999707
Fam208a,0.001294839,0.99999707
BC106179,0.002808809,0.99999707
Gm6510,0.142225454,0.818320918
Zfp236,0.009364139,0.99999707
Cpne7,0.083868785,0.99999707
Gm8606,0.021687366,0.99999707
Maml3,-0.050870008,0.99999707
Gprasp1,0.008397096,0.99999707
Gem,0.062371966,0.99999707
Mtmr14,-0.140262207,0.775972094
Gm44163,0.037936189,0.99999707
Vezf1,0.012937807,0.99999707
Gm27190,0.024084239,0.99999707
Gm3081,-0.028429971,0.99999707
1110065P20Rik,-0.052596564,0.99999707
Gm21992,-0.061076756,0.99999707
Rpl12-ps1,-0.092482459,0.99999707
Fra10ac1,-0.054101754,0.99999707
Gm12527,-0.026582777,0.99999707
Ankrd16,0.063401932,0.99999707
Taf1d,0.022112596,0.99999707
Gm8955,0.080779605,0.99999707
Erg,0.060952168,0.99999707
Tyrobp,-0.056436274,0.99999707
Gm12454,-0.032891937,0.99999707
Rab6a,-0.006142955,0.99999707
Arl6,0.006675305,0.99999707
Limk1,0.304447046,0.003009324
Gm38243,-0.147925609,0.731995675
Gm21761,-0.088787171,0.99999707
Tmem87b,0.060348361,0.99999707
Slk,0.020041876,0.99999707
Elfn1,-0.194334209,0.367046439
Snora69,-0.19506859,0.541409985
Rps23-ps2,0.151594884,0.705227436
Nrm,-0.01989296,0.99999707
Dock11,0.083899445,0.99999707
Wdr89,-0.099705366,0.931367754
Wnk2,-0.170004638,0.713456863
Fzd3,-0.027646325,0.99999707
Gm16038,0.04091193,0.99999707
Sptbn5,-0.049752095,0.99999707
Bphl,-0.029656434,0.99999707
Pcdhgc4,0.016961234,0.99999707
Mettl2,-0.047741999,0.99999707
Sra1,-0.014698409,0.99999707
Mir7087,-0.093932092,0.99999707
Gm14328,0.083555207,0.99999707
Gm9430,0.043840555,0.99999707
Cd276,-0.016063506,0.99999707
Gm43054,-0.032501788,0.99999707
Mst1r,-0.072411532,0.99999707
Ak3,-0.023060232,0.99999707
Psmc3,-0.003648373,0.99999707
Myc,0.021776224,0.99999707
Kitl,0.083740647,0.99999707
Gm44609,-0.009650523,0.99999707
Pcmtd2,0.049166497,0.99999707
Tnfsf13os,-0.052648381,0.99999707
Mycbp,-0.047426847,0.99999707
Psrc1,0.114588674,0.99999707
Nat8f1,0.127753666,0.979942677
A030001D20Rik,0.011871961,0.99999707
Ppp2r3c,0.257237582,0.087074965
Gm16998,0.03534599,0.99999707
Ppat,0.049564264,0.99999707
Gm6781,-0.005363669,0.99999707
Myof,-0.001725029,0.99999707
Gm37612,-0.009749928,0.99999707
Gm15528,0.050190762,0.99999707
Rp9,0.020598708,0.99999707
Zbtb16,-0.162393412,0.778411773
Pelp1,-0.018086815,0.99999707
Gm29797,0.004376578,0.99999707
Rab11a,-0.018920265,0.99999707
Gm42748,0.002951458,0.99999707
Gm20506,-0.069948743,0.99999707
Anxa3,0.062997581,0.99999707
Ube2q1,0.026107813,0.99999707
C030013C21Rik,0.042942986,0.99999707
Ankrd37,-0.068149776,0.99999707
Hmcn2,0.0606737,0.99999707
2900093K20Rik,0.009446555,0.99999707
Haus4,-0.05136112,0.99999707
Wfikkn1,-0.019456541,0.99999707
Hmgn5,-0.074346062,0.99999707
Mpc1,-0.035301468,0.99999707
Pfkfb1,-0.009238823,0.99999707
Exoc3l4,-0.013674246,0.99999707
Gm17538,-0.039554567,0.99999707
Disp2,0.048224551,0.99999707
Stat4,-0.061331421,0.99999707
Ing1,-0.031053829,0.99999707
Gm16364,-0.029216393,0.99999707
Gm38278,0.051858625,0.99999707
Anxa7,0.002890361,0.99999707
Ubr4,0.072194955,0.99999707
Sh3gl1,-0.079714314,0.99999707
Gm527,-0.033015113,0.99999707
Fbxw2,0.008607534,0.99999707
Dsn1,-0.03455618,0.99999707
Tmem11,-0.038213103,0.99999707
Myrf,-0.019844687,0.99999707
Gm12063,-0.067360525,0.99999707
Gzf1,-0.023400895,0.99999707
Snx10,-0.038233466,0.99999707
Abr,0.052476037,0.99999707
Gnl3,-0.27941803,0.000561937
Cradd,-0.036125344,0.99999707
Tmem183a,-0.09530563,0.99999707
Fam189b,-0.00450313,0.99999707
Gm43236,0.008290998,0.99999707
Map2k7,0.059047933,0.99999707
Gm14022,-0.0520586,0.99999707
Caml,0.002317851,0.99999707
Serinc5,-0.006967742,0.99999707
Gm43196,-0.069930267,0.99999707
Gm10257,0.018370569,0.99999707
Nudt14,0.092591857,0.99999707
Cd24a,-0.011512287,0.99999707
Mir693,0.077659947,0.99999707
Eftud2,-0.045898354,0.99999707
Dnah6,0.099179277,0.987266254
Kbtbd8,0.180051698,0.149006727
Arpp19,0.037798146,0.99999707
Bicd2,-0.080119618,0.99999707
Napsa,0.04037888,0.99999707
Gm8167,0.04360675,0.99999707
Tm4sf1,-0.022005353,0.99999707
Pccb,-0.002695822,0.99999707
Tsta3,-0.069738741,0.99999707
Jchain,0.008548482,0.99999707
Ptgr1,0.026638647,0.99999707
9030204H09Rik,0.034913952,0.99999707
Smim7,0.119213792,0.99999707
Cacfd1,-0.002423558,0.99999707
4930532G15Rik,-0.043084266,0.99999707
Gm8864,0.068785241,0.99999707
Cbx3-ps3,-0.108858544,0.99999707
Leprotl1,-0.068500511,0.99999707
Atxn7,0.037932342,0.99999707
Gm14419,0.002143839,0.99999707
Nat8l,0.0764169,0.99999707
Irf4,-0.006860101,0.99999707
RP23-83G5.2,0.044655974,0.99999707
Spats1,-0.002711267,0.99999707
Gm24920,-0.136625077,0.95352173
Cdkn2a,0.033246111,0.99999707
9530027J09Rik,-0.026826189,0.99999707
Fgfr3,0.020057734,0.99999707
Gm45515,0.18574235,0.186877644
Parp11,-0.12762199,0.878011207
Slc3a2,-0.08807662,0.99999707
Gm13542,0.053720479,0.99999707
4930415O20Rik,-0.090994621,0.99999707
Ifit2,-0.009112284,0.99999707
Ncbp2,-0.072252437,0.99999707
Cd200r1,-0.039498611,0.99999707
Krt222,0.130740797,0.99999707
Gm11868,-0.07808707,0.99999707
Gm5710,0.05229665,0.99999707
Hfe,0.137378349,0.798634212
Ibsp,0.084977554,0.99999707
Rbm42,-0.159329582,0.801506105
Nectin2,-0.060108368,0.99999707
Gm14049,0.08006956,0.99999707
Fgf13,0.031538078,0.99999707
Coro2a,0.069378431,0.99999707
Banp,0.013687451,0.99999707
Gm26702,0.024262675,0.99999707
Gm13882,-0.026795798,0.99999707
Fanci,-0.014305771,0.99999707
Jag1,0.029472292,0.99999707
Gm43752,-0.018049789,0.99999707
Exoc8,-0.010773904,0.99999707
Mrps27,-0.094438544,0.99999707
RP24-386D3.6,0.097237066,0.99999707
Tnpo3,-0.064416127,0.99999707
Rpl14-ps1,0.004699422,0.99999707
Gm4823,0.000822206,0.99999707
Zmynd15,0.004168176,0.99999707
Psip1,-0.062027939,0.99999707
Crnde,0.001771825,0.99999707
Eml2,-0.077927589,0.99999707
Izumo4,-0.002342218,0.99999707
Xpr1,0.183810805,0.541409985
Gm8623,0.051287527,0.99999707
Chuk,-0.091147418,0.851231974
Gm26852,0.140259888,0.944645752
Nwd1,-0.038741668,0.99999707
Asna1,-0.164648773,0.772216801
Clec2f,0.033429017,0.99999707
Gm9797,-0.045418357,0.99999707
Gm13655,-0.012866206,0.99999707
Gabrr2,0.027448348,0.99999707
Gm31406,0.039037099,0.99999707
Rimbp3,0.015907353,0.99999707
A230020J21Rik,-0.051468605,0.99999707
Ccp110,0.056212763,0.99999707
Zscan2,0.020919896,0.99999707
Fbxo28,-0.044851262,0.99999707
H2-D1,0.184534968,0.3678033
Btnl9,0.090466946,0.812399977
Mir3068,0.017379322,0.99999707
4933439C10Rik,0.029803125,0.99999707
Pip4k2a,-0.068751477,0.99999707
1700112E06Rik,-0.104278306,0.99999707
Cacna1c,-0.010974418,0.99999707
Clptm1l,-0.167827762,0.482569298
Snx14,-0.020103432,0.99999707
Gm43010,-0.060515467,0.99999707
Cd274,0.019801002,0.99999707
Ndufaf2,-0.005612776,0.99999707
Gm13928,-0.082875599,0.99999707
Pspc1,-0.030521525,0.99999707
F730311O21Rik,-0.122154914,0.779990802
Trp73,-0.021295083,0.99999707
Arfgap2,-0.054979188,0.99999707
Ngp,0.004042994,0.99999707
D030047H15Rik,0.042137048,0.99999707
Gm11996,-0.007701525,0.99999707
Ndufs6,0.045312422,0.99999707
Gm20427,0.005420235,0.99999707
Spen,-0.046602317,0.99999707
Alms1,-0.07399032,0.99999707
Rdh13,0.016234983,0.99999707
Mir7064,0.077922403,0.99999707
Gm7083,0.005088231,0.99999707
Tns2,-0.002098095,0.99999707
Gm15682,-0.081209874,0.99999707
Spats2,0.099680439,0.979942677
Enthd1,-0.023240361,0.99999707
Gm37215,-0.011241298,0.99999707
Focad,-0.036008184,0.99999707
Gm38115,-0.02781449,0.99999707
Pcdhb22,0.016744101,0.99999707
Gm23608,-0.076126603,0.99999707
Sap30bp,0.012780492,0.99999707
Stxbp6,0.020856537,0.99999707
D630030B08Rik,0.045230176,0.99999707
Gm23421,-0.657221446,1.25E-10
RP23-402F24.3,0.217555062,0.18413948
Gm44745,-0.096463898,0.99999707
Lzts3,0.017717463,0.99999707
Sap18,0.025340996,0.99999707
Rcl1,-0.058517632,0.99999707
Rnf220,-0.027228157,0.99999707
Ccs,-0.080869443,0.99999707
4933424L21Rik,-0.001466258,0.99999707
Slc1a1,-0.014781864,0.99999707
Sdc2,0.091211262,0.99999707
Dclk2,0.205787512,0.376941364
Qrich1,-0.011614336,0.99999707
Tmem218,-0.021545989,0.99999707
Zc3h13,-0.179004385,0.448688467
Gm43365,0.032268081,0.99999707
Tmem163,0.071288301,0.99999707
Sash3,-0.023288759,0.99999707
Gm5473,0.110549004,0.902487006
Ighv1-13,0.098483826,0.755303764
Muc3a,-0.028806912,0.99999707
Dffb,-0.000316555,0.99999707
Cant1,-0.037459323,0.99999707
Gm44008,-0.05861222,0.99999707
Gm37216,0.061617363,0.99999707
BC016579,0.090053049,0.99999707
Ighd1-1,0.014949952,0.99999707
Mir7008,0.066682152,0.99999707
Gm20705,0.097683574,0.99999707
Ube2v1,0.083723581,0.99999707
C030037D09Rik,0.035777028,0.99999707
Gm27027,0.128040196,0.973077195
Fam45a,0.009869445,0.99999707
Ugt1a7c,-0.058851575,0.99999707
Sac3d1,0.033575846,0.99999707
Vps16,-0.067465289,0.99999707
Capns2,0.026916049,0.99999707
Gm45605,-0.031542237,0.99999707
Grip1,0.129877993,0.621882422
Fzd5,0.10645762,0.99999707
Gm44190,-0.019441125,0.99999707
Gm10254,0.405442126,0.001342341
Gm26549,0.05060665,0.99999707
Ccdc22,0.070667813,0.99999707
Gm18913,0.125126133,0.99999707
Gm4342,-0.093076193,0.99999707
Rpl32-ps,0.075634438,0.99999707
Prdm8,-0.03587719,0.99999707
Brca1,-0.102094235,0.99999707
Gm12152,-0.042721442,0.99999707
Mcrs1,0.038933499,0.99999707
Asb8,0.01175151,0.99999707
Mir24-1,-0.026129431,0.99999707
Angptl6,-0.177920816,0.691421428
Gm13038,0.007699858,0.99999707
Nfic,-0.015545064,0.99999707
Il2ra,-0.092085131,0.99999707
Gm5587,-0.051830079,0.99999707
Ddit3,0.062109686,0.99999707
RP23-101D11.3,-0.004728633,0.99999707
Gm26577,-0.072506042,0.99999707
Fam214b,-0.374680446,0.003872245
Ndufa11,0.126663681,0.147222423
Omp,-0.054979885,0.99999707
Garem2,0.006190535,0.99999707
Pdhb,0.056590628,0.99999707
Sh3tc1,0.064111323,0.99999707
Tmem177,-0.06357001,0.99999707
Snord71,-0.120345463,0.99999707
Ift172,0.070114264,0.931367754
Gm23628,-0.081654843,0.99999707
Synj2bp,-0.087249691,0.99999707
Camk1g,0.050066471,0.99999707
Trip11,-0.029374443,0.99999707
Morc2a,0.041615287,0.99999707
Gm5262,-0.009569888,0.99999707
Gm17077,0.078673286,0.99999707
Gm12276,0.063165336,0.99999707
Pla1a,-0.000311402,0.99999707
Gm38357,-0.110770954,0.99999707
Rnpepl1,-0.082771211,0.99999707
Xrcc1,-0.017149955,0.99999707
Mcur1,0.018921689,0.99999707
Gm13369,0.032991908,0.99999707
Rpl30-ps2,0.028032921,0.99999707
Prim2,-0.044624701,0.99999707
Podxl,-0.012318135,0.99999707
Brwd1,-0.146969018,0.832678241
Galnt16,-0.031283823,0.99999707
Ccdc162,0.013182562,0.99999707
Gm25945,0.048735277,0.99999707
Ino80c,0.064608633,0.99999707
Gm37960,0.034644694,0.99999707
RP24-94F12.6,0.068030654,0.99999707
Gm37289,-0.057350233,0.99999707
Nipbl,-0.004256066,0.99999707
Rapgef1,0.040682178,0.99999707
Nol6,0.015916606,0.99999707
Cyr61,-0.019595836,0.99999707
Tbcc,0.115322893,0.906450989
Papd7,-0.045887047,0.99999707
Gm5083,-0.114579148,0.961507994
Fbxo43,0.197814576,0.17671783
Tnfrsf17,0.033602276,0.99999707
Ttc8,-0.023337435,0.99999707
Tdrd12,0.049689949,0.99999707
Srpx,0.039948791,0.99999707
Fhod1,0.077922317,0.99999707
Toe1,-0.088387948,0.99999707
Ism2,0.154715437,0.855754402
Ralyl,0.027523599,0.99999707
RP23-186O3.11,-0.020109106,0.99999707
Aftph,-0.070962562,0.99999707
1700025A08Rik,0.005555506,0.99999707
Mir6951,-0.000654947,0.99999707
Gm10359,0.002368248,0.99999707
Uros,0.047700948,0.99999707
Gm14563,-0.097372249,0.99999707
Slc28a2,0.040569884,0.99999707
Wbp1l,0.022133145,0.99999707
Tox3,0.049884608,0.99999707
Map2k3os,-0.080290627,0.99999707
Spinkl,0.028755191,0.99999707
Dmpk,0.119712113,0.993161117
Pex11a,-0.130770316,0.917288734
Rpl7a-ps9,-0.041279305,0.99999707
H2-Q6,-0.08565639,0.99999707
Gm14113,-0.034603072,0.99999707
Mief2,0.029722354,0.99999707
Dnmt3a,0.093684481,0.99999707
Gm13495,-0.039886684,0.99999707
4930579K19Rik,0.002020616,0.99999707
Gm11839,-0.009372465,0.99999707
Ap3m2,0.046616622,0.99999707
Rab29,0.146980915,0.860640989
Cetn3,-0.107848299,0.772216801
Malsu1,0.033760889,0.99999707
Gm12738,-0.077207105,0.293903013
Camsap2,-0.056287289,0.99999707
Gm4479,0.101253322,0.99999707
Nron,0.017326015,0.99999707
Gchfr,-0.087448746,0.99999707
Cd80,-0.144163638,0.220234433
Plcl2,-0.0130989,0.99999707
Gatm,0.032518487,0.99999707
Tomm70a,-0.027441758,0.99999707
Dok7,-0.116381354,0.889897753
Epha2,-0.137685618,0.904503122
Acap3,0.03185407,0.99999707
Nr2c2ap,0.075780901,0.99999707
Usp28,0.002642784,0.99999707
Slc6a20a,0.011660914,0.99999707
Lmf2,-0.035518197,0.99999707
Tnik,-0.060579903,0.99999707
Pinx1,-0.129822985,0.705227436
Rpl19-ps4,-0.032967484,0.99999707
Wdtc1,-0.043089831,0.99999707
Eef1g,-0.259936693,0.17736828
Rnft2,-0.051515265,0.99999707
Rsf1os2,0.003126664,0.99999707
Mybbp1a,-0.02111307,0.99999707
BC030343,-0.000516149,0.99999707
Ccdc189,-0.029147168,0.99999707
Ighd5-4,0.016538491,0.99999707
Reep6,0.136567511,0.64724684
Faim,0.058524956,0.99999707
Dnaaf5,-0.076441451,0.99999707
Pck2,-0.270725617,0.00778644
Stard3nl,-0.031684518,0.99999707
Gm15044,0.069185176,0.99999707
Tmem97,-0.035865543,0.99999707
Ift43,-0.065555751,0.99999707
Hecw2,0.107570803,0.931367754
Gm15199,0.007901534,0.99999707
Gm45205,0.125499964,0.967650314
2700062C07Rik,0.141030964,0.371467497
Asb17,0.029894993,0.99999707
Gm25896,-0.002507405,0.99999707
Kif2c,0.047882186,0.99999707
Epas1,0.005106465,0.99999707
Tomm6,-0.044019962,0.99999707
Rps6ka6,-0.015623976,0.99999707
Plagl2,0.04755606,0.99999707
Ube2g2,0.021408963,0.99999707
Smim8,0.041313534,0.99999707
Tmem201,-0.001174213,0.99999707
Cwf19l2,-0.013599443,0.99999707
Clcn7,0.012886467,0.99999707
Armcx6,0.108889796,0.728700775
Hist1h4k,0.138274629,0.973780391
Paics,0.035855824,0.99999707
Erich1,0.091236917,0.99999707
Gm12321,-0.281436356,0.001668334
Gm14541,0.025190555,0.99999707
Arhgap22,-0.00236521,0.99999707
Fbxo33,-0.110266484,0.759587253
Rtp4,0.14656763,0.692271177
Cmtr2,-0.044654968,0.99999707
Gm37653,-0.040596599,0.99999707
Pias2,0.047200112,0.99999707
Phlda1,-0.026425375,0.99999707
Sf3b6,-0.023375153,0.99999707
S1pr4,0.01904383,0.99999707
Myeov2,-0.026303065,0.99999707
Gm19033,-0.076068191,0.99999707
Tmem185a,-0.040123736,0.99999707
Gm29590,0.001762068,0.99999707
Kmo,0.024810583,0.99999707
Gm5311,-0.16575535,0.302982056
Trim39,-0.040292213,0.99999707
Gm7890,-0.019823835,0.99999707
Plcd3,0.094884682,0.979942677
Pglyrp1,-0.057546827,0.99999707
Nrbp1,-0.015852113,0.99999707
Rpp30,-0.010309534,0.99999707
Gadd45a,0.099028029,0.931367754
Fcrl6,0.094712048,0.969200375
Gm26760,-0.081836392,0.728700775
Gm11516,-0.046978178,0.99999707
Tmem208,0.095941136,0.99999707
Gm8756,-0.132239452,0.99999707
Mirlet7g,0.232862646,0.114806153
Eif3a,-0.084930833,0.99999707
Sde2,-0.015844858,0.99999707
Tmem80,0.007720166,0.99999707
Klf3,0.050349369,0.99999707
1110008L16Rik,0.022028323,0.99999707
Gm12216,-0.108243962,0.99999707
Ctdspl,-0.025039598,0.99999707
Zfp521,-0.072866079,0.99999707
Atg13,-0.043171326,0.99999707
Kat2a,-0.05109176,0.99999707
Ube2b,0.012539296,0.99999707
Caskin2,0.057356708,0.99999707
Hmgn1,-0.002028378,0.99999707
Deb1,-0.010650777,0.99999707
Dnajc13,-0.024552561,0.99999707
Hfm1,-0.049736875,0.99999707
Gm24379,0.074060992,0.99999707
Matr3,-0.02952732,0.99999707
Zfp990,0.04136804,0.99999707
Cutal,0.019425561,0.99999707
Fbxo46,0.012018155,0.99999707
Cstf1,-0.070745869,0.99999707
Ighd2-7,-0.049860609,0.99999707
Mpzl3,-0.010279377,0.99999707
Sirt4,-0.080629423,0.99999707
Csnk1e,-0.055539361,0.99999707
Anxa2,-0.097817138,0.99999707
Hoxa2,-0.024811821,0.99999707
Gm11956,0.009903116,0.99999707
Brca2,0.034271437,0.99999707
Gdpd2,-0.045957459,0.99999707
Txlnb,-0.008567929,0.99999707
Dpy19l3,0.15747208,0.790006518
Psmc3ip,0.040567965,0.99999707
1700012D14Rik,-0.046816341,0.99999707
Foxr1,-0.095541142,0.99999707
C1qtnf4,-0.059255929,0.99999707
Ube2d3,0.015048483,0.99999707
Kdm5a,-0.142886543,0.851306679
Rnf6,0.036578808,0.99999707
Hip1r,-0.079626346,0.99999707
Gm14006,-0.031527726,0.99999707
Cmbl,-0.025722275,0.99999707
Grip1os3,0.109195539,0.99999707
Dnajc2,0.03146124,0.99999707
5031425E22Rik,0.050177852,0.99999707
Izumo1,-0.025293414,0.99999707
Gm15041,-0.021249964,0.99999707
Tango6,0.034845557,0.99999707
Scly,0.040516914,0.99999707
Atg16l1,0.006975417,0.99999707
Sorbs1,0.048080613,0.99999707
Cst3,-0.098168812,0.99999707
Tmem268,-0.116765555,0.695964497
Gprc5b,0.016422748,0.99999707
Tkt,0.051731508,0.99999707
Lyn,-0.049224804,0.99999707
Skil,0.123051812,0.89650009
Tpi1,-0.073053811,0.99999707
Gm5803,0.060548758,0.99999707
Gm15426,-0.025712702,0.99999707
Fam3a,-0.20505969,0.460312727
Adam15,0.034553769,0.99999707
Ccdc28b,-0.063707599,0.99999707
Ankrd42,-0.050704099,0.99999707
Gm8493,-0.049826035,0.99999707
Casc1,0.041914932,0.99999707
Vps35,-0.028650837,0.99999707
Gm43223,0.063924363,0.99999707
Pou6f1,-0.06248859,0.99999707
Amd2,-0.019079449,0.99999707
Arhgef37,-0.043667184,0.99999707
Hsd11b1,0.015709037,0.99999707
Gm22328,-0.014124897,0.99999707
Itih4,-0.167152055,0.443923504
Tbc1d24,-0.016041269,0.99999707
Gm28496,0.021635629,0.99999707
Mga,-0.032416048,0.99999707
Bcl2l12,0.023009858,0.99999707
B430203G13Rik,-0.056002446,0.99999707
Evpl,-0.026748186,0.99999707
4930526A20Rik,-0.011822575,0.99999707
Gm13351,0.087521035,0.99999707
Pls1,-0.069708198,0.99999707
Fam193a,0.01131507,0.99999707
Tgfbr1,-0.103993329,0.790935245
Zfp715,0.005466531,0.99999707
Ackr2,-0.094733471,0.99999707
Ube2f,0.019153406,0.99999707
Ifitm2,0.033148782,0.99999707
Gm37205,-0.043382569,0.99999707
Golm1,-0.067210221,0.99999707
Hoxa1,-0.000575057,0.99999707
Zkscan4,-0.076827942,0.99999707
Ier2,0.031743491,0.99999707
5830454E08Rik,0.123613445,0.708309292
Mroh1,0.013326231,0.99999707
Celsr3,-0.14302114,0.743603796
Gm15759,-0.102347341,0.99999707
Celf4,0.010243534,0.99999707
Mmachc,-0.094532932,0.753506251
Mir22hg,-0.066199704,0.99999707
Tex10,0.003252724,0.99999707
Gm37227,0.026181075,0.99999707
Gm6039,-0.024074435,0.99999707
Gm6155,-0.024126253,0.99999707
Zfp429,0.038692129,0.99999707
Pum3,-0.046070788,0.99999707
Gm26772,0.046525797,0.99999707
Rpl7a-ps2,0.035417035,0.99999707
Ankrd44,0.12466742,0.511420688
Aldoa,-0.005493558,0.99999707
Atad5,-0.005423295,0.99999707
Stx1b,0.058787645,0.99999707
Klhdc2,-0.012787664,0.99999707
Mir3058,0.055364118,0.99999707
Lrrc63,0.073635807,0.99999707
RP23-360L22.2,0.079215,0.99999707
Phf5a,-0.013508031,0.99999707
Pcdh10,-0.004913704,0.99999707
Gm5121,-0.001643006,0.99999707
Spry4,-0.050998827,0.99999707
Rpl10,-0.032554687,0.99999707
Ak6,-0.074497574,0.99999707
Rnf138rt1,-0.026119118,0.99999707
Sgcb,0.017453793,0.99999707
Dnajb1,0.047229683,0.99999707
Gm6712,0.115607079,0.845283201
Zfp511,0.035241573,0.99999707
Gm10557,0.081132387,0.99999707
Nup214,-0.005595078,0.99999707
