gene_symbol,log2FoldChange,pvalue
Gm43568,-0.038194017,0.99999707
Gm11672,-0.12654043,0.836462827
Asb11,-0.049933811,0.99999707
Stab2,0.039600738,0.99999707
Shank1,-0.019212294,0.99999707
Slc16a5,-0.077758044,0.99999707
RP24-366L10.4,0.191294866,0.215114701
Phykpl,0.007262763,0.99999707
Zfp58,-0.01621679,0.99999707
Gm1848,0.007192986,0.99999707
Ssh3,0.078346552,0.99999707
Gtf2h3,-0.093354313,0.99999707
Phax,0.264650995,0.148913389
Prpf40a,0.008225217,0.99999707
Gm15066,0.032858179,0.99999707
Gm14263,0.087485659,0.987266254
Pck1,0.050904155,0.99999707
Adam30,0.007104487,0.99999707
Stkld1,0.103176351,0.99999707
3110083C13Rik,-0.052510548,0.99999707
Madd,-0.124666668,0.899338143
Hist1h4d,-0.221831071,0.299730183
RP23-118M23.8,0.156894341,0.748973412
RP23-356D13.11,0.012892183,0.99999707
Itga5,0.043099733,0.99999707
Pprc1,0.013441572,0.99999707
Gm2735,0.028707648,0.99999707
Olfr619,0.054857987,0.99999707
Cog3,-0.029892239,0.99999707
0610007P14Rik,-0.036766016,0.99999707
Gm42449,0.028193892,0.99999707
B930036N10Rik,0.092092615,0.99999707
Depdc7,0.094102964,0.99999707
Metrn,0.030048709,0.99999707
Mir5129,-0.009803807,0.99999707
Fhl1,0.038228834,0.99999707
Fbxw5,-0.026136686,0.99999707
2700046G09Rik,0.052855831,0.99999707
Eif3s6-ps1,0.04290443,0.99999707
Gm27834,-0.057654276,0.99999707
Tmed6,-0.071613535,0.99999707
Zfp541,0.102539041,0.99999707
Gm15859,-0.047016034,0.99999707
2700038G22Rik,-0.085741084,0.99999707
Uqcrh,-0.012908951,0.99999707
4930405O22Rik,0.0925012,0.898378317
RP23-186O3.13,-0.202875246,0.052325995
Usp49,0.037285951,0.99999707
Rpp25l,-0.012099114,0.99999707
Pnpla1,-0.088468959,0.99999707
Acin1,-0.019934734,0.99999707
